,Unnamed: 0_x,match_id,date,tournament,Unnamed: 0_y,player_id,winner,Unnamed: 0,name,country
23,2712,m_2018_F_45,2018-05-29,French Open,2696,atp_104731,True,4701,Kevin Anderson,RSA
24,2754,m_2018_F_87,2018-05-31,French Open,2738,atp_104731,True,4701,Kevin Anderson,RSA
25,2772,m_2018_F_105,2018-02-06,French Open,2756,atp_104731,True,4701,Kevin Anderson,RSA
26,2783,m_2018_F_116,2018-04-06,French Open,12887,atp_104731,False,4701,Kevin Anderson,RSA
27,2844,m_2017_F_50,2017-05-30,French Open,2828,atp_104731,True,4701,Kevin Anderson,RSA
28,2884,m_2017_F_90,2017-01-06,French Open,2868,atp_104731,True,4701,Kevin Anderson,RSA
29,2899,m_2017_F_105,2017-03-06,French Open,2883,atp_104731,True,4701,Kevin Anderson,RSA
30,2913,m_2017_F_119,2017-05-06,French Open,13017,atp_104731,False,4701,Kevin Anderson,RSA
31,2975,m_2016_F_54,2016-05-24,French Open,13079,atp_104731,False,4701,Kevin Anderson,RSA
32,3102,m_2015_F_54,2015-05-26,French Open,3085,atp_104731,True,4701,Kevin Anderson,RSA
33,3141,m_2015_F_93,2015-05-28,French Open,3123,atp_104731,True,4701,Kevin Anderson,RSA
34,3157,m_2015_F_109,2015-05-30,French Open,13258,atp_104731,False,4701,Kevin Anderson,RSA
35,3225,m_2014_F_50,2014-05-27,French Open,3206,atp_104731,True,4701,Kevin Anderson,RSA
36,3257,m_2014_F_82,2014-05-29,French Open,3238,atp_104731,True,4701,Kevin Anderson,RSA
37,3280,m_2014_F_105,2014-05-31,French Open,3261,atp_104731,True,4701,Kevin Anderson,RSA
38,3291,m_2014_F_116,2014-02-06,French Open,13392,atp_104731,False,4701,Kevin Anderson,RSA
39,3303,m_2013_F_1,2013-05-26,French Open,3284,atp_104731,True,4701,Kevin Anderson,RSA
40,3370,m_2013_F_68,2013-05-29,French Open,3351,atp_104731,True,4701,Kevin Anderson,RSA
41,3402,m_2013_F_100,2013-05-31,French Open,3382,atp_104731,True,4701,Kevin Anderson,RSA
42,3414,m_2013_F_112,2013-02-06,French Open,13514,atp_104731,False,4701,Kevin Anderson,RSA
43,3462,m_2012_F_33,2012-05-28,French Open,3442,atp_104731,True,4701,Kevin Anderson,RSA
44,3500,m_2012_F_71,2012-05-30,French Open,3480,atp_104731,True,4701,Kevin Anderson,RSA
45,3525,m_2012_F_96,2012-01-06,French Open,13625,atp_104731,False,4701,Kevin Anderson,RSA
46,3615,m_2011_F_59,2011-05-24,French Open,3595,atp_104731,True,4701,Kevin Anderson,RSA
47,3646,m_2011_F_90,2011-05-26,French Open,13746,atp_104731,False,4701,Kevin Anderson,RSA
48,3696,m_2010_F_13,2010-05-23,French Open,13795,atp_104731,False,4701,Kevin Anderson,RSA
126,2602,m_2019_F_62,2019-05-28,French Open,2586,atp_105173,True,5138,Adrian Mannarino,FRA
127,2630,m_2019_F_90,2019-05-30,French Open,12734,atp_105173,False,5138,Adrian Mannarino,FRA
128,2721,m_2018_F_54,2018-05-29,French Open,12825,atp_105173,False,5138,Adrian Mannarino,FRA
129,2794,m_2017_F_0,2017-05-28,French Open,12898,atp_105173,False,5138,Adrian Mannarino,FRA
130,2931,m_2016_F_10,2016-05-23,French Open,2915,atp_105173,True,5138,Adrian Mannarino,FRA
131,3000,m_2016_F_79,2016-05-25,French Open,13104,atp_105173,False,5138,Adrian Mannarino,FRA
132,3088,m_2015_F_40,2015-05-25,French Open,13191,atp_105173,False,5138,Adrian Mannarino,FRA
133,3213,m_2014_F_38,2014-05-26,French Open,3194,atp_105173,True,5138,Adrian Mannarino,FRA
134,3259,m_2014_F_84,2014-05-29,French Open,13360,atp_105173,False,5138,Adrian Mannarino,FRA
135,3319,m_2013_F_17,2013-05-27,French Open,13420,atp_105173,False,5138,Adrian Mannarino,FRA
136,3429,m_2012_F_0,2012-05-27,French Open,13529,atp_105173,False,5138,Adrian Mannarino,FRA
137,3570,m_2011_F_14,2011-05-22,French Open,13670,atp_105173,False,5138,Adrian Mannarino,FRA
138,3864,m_2009_F_54,2009-05-26,French Open,13963,atp_105173,False,5138,Adrian Mannarino,FRA
139,3994,m_2008_F_57,2008-05-28,French Open,14093,atp_105173,False,5138,Adrian Mannarino,FRA
186,2556,m_2019_F_16,2019-05-27,French Open,12660,atp_105932,False,5889,Nikoloz Basilashvili,RUS
187,2700,m_2018_F_33,2018-05-28,French Open,12804,atp_105932,False,5889,Nikoloz Basilashvili,RUS
188,2813,m_2017_F_19,2017-05-29,French Open,2797,atp_105932,True,5889,Nikoloz Basilashvili,RUS
189,2864,m_2017_F_70,2017-05-31,French Open,2848,atp_105932,True,5889,Nikoloz Basilashvili,RUS
190,2894,m_2017_F_100,2017-02-06,French Open,12998,atp_105932,False,5889,Nikoloz Basilashvili,RUS
191,2946,m_2016_F_25,2016-05-23,French Open,13050,atp_105932,False,5889,Nikoloz Basilashvili,RUS
192,3082,m_2015_F_34,2015-05-25,French Open,13185,atp_105932,False,5889,Nikoloz Basilashvili,RUS
217,2578,m_2019_F_38,2019-05-27,French Open,2562,atp_105430,True,5392,Radu Albot,MDA
218,2627,m_2019_F_87,2019-05-30,French Open,12731,atp_105430,False,5392,Radu Albot,MDA
219,2667,m_2018_F_0,2018-05-27,French Open,2651,atp_105430,True,5392,Radu Albot,MDA
220,2733,m_2018_F_66,2018-05-30,French Open,12837,atp_105430,False,5392,Radu Albot,MDA
221,2849,m_2017_F_55,2017-05-30,French Open,12953,atp_105430,False,5392,Radu Albot,MDA
222,2922,m_2016_F_1,2016-05-22,French Open,13026,atp_105430,False,5392,Radu Albot,MDA
246,2602,m_2019_F_62,2019-05-28,French Open,12706,atp_105882,False,5839,Stefano Travaglia,ITA
253,2569,m_2019_F_29,2019-05-27,French Open,12673,atp_105819,False,5776,Guido Andreozzi,ARG
254,2679,m_2018_F_12,2018-05-27,French Open,2663,atp_105819,True,5776,Guido Andreozzi,ARG
255,2736,m_2018_F_69,2018-05-30,French Open,12840,atp_105819,False,5776,Guido Andreozzi,ARG
301,2599,m_2019_F_59,2019-05-28,French Open,2583,atp_104269,True,4242,Fernando Verdasco,ESP
302,2625,m_2019_F_85,2019-05-30,French Open,12729,atp_104269,False,4242,Fernando Verdasco,ESP
303,2676,m_2018_F_9,2018-05-27,French Open,2660,atp_104269,True,4242,Fernando Verdasco,ESP
304,2736,m_2018_F_69,2018-05-30,French Open,2720,atp_104269,True,4242,Fernando Verdasco,ESP
305,2764,m_2018_F_97,2018-01-06,French Open,2748,atp_104269,True,4242,Fernando Verdasco,ESP
306,2781,m_2018_F_114,2018-03-06,French Open,12885,atp_104269,False,4242,Fernando Verdasco,ESP
307,2846,m_2017_F_52,2017-05-30,French Open,2830,atp_104269,True,4242,Fernando Verdasco,ESP
308,2888,m_2017_F_94,2017-01-06,French Open,2872,atp_104269,True,4242,Fernando Verdasco,ESP
309,2901,m_2017_F_107,2017-03-06,French Open,2885,atp_104269,True,4242,Fernando Verdasco,ESP
310,2911,m_2017_F_117,2017-05-06,French Open,13015,atp_104269,False,4242,Fernando Verdasco,ESP
311,2941,m_2016_F_20,2016-05-23,French Open,2925,atp_104269,True,4242,Fernando Verdasco,ESP
312,2986,m_2016_F_65,2016-05-25,French Open,2970,atp_104269,True,4242,Fernando Verdasco,ESP
313,3020,m_2016_F_99,2016-05-27,French Open,13124,atp_104269,False,4242,Fernando Verdasco,ESP
314,3073,m_2015_F_25,2015-05-25,French Open,3056,atp_104269,True,4242,Fernando Verdasco,ESP
315,3112,m_2015_F_64,2015-05-27,French Open,13215,atp_104269,False,4242,Fernando Verdasco,ESP
316,3234,m_2014_F_59,2014-05-27,French Open,3215,atp_104269,True,4242,Fernando Verdasco,ESP
317,3268,m_2014_F_93,2014-05-29,French Open,3249,atp_104269,True,4242,Fernando Verdasco,ESP
318,3285,m_2014_F_110,2014-01-06,French Open,3266,atp_104269,True,4242,Fernando Verdasco,ESP
319,3293,m_2014_F_118,2014-02-06,French Open,13394,atp_104269,False,4242,Fernando Verdasco,ESP
320,3361,m_2013_F_59,2013-05-28,French Open,3342,atp_104269,True,4242,Fernando Verdasco,ESP
321,3395,m_2013_F_93,2013-05-31,French Open,13495,atp_104269,False,4242,Fernando Verdasco,ESP
322,3437,m_2012_F_8,2012-05-27,French Open,3417,atp_104269,True,4242,Fernando Verdasco,ESP
323,3502,m_2012_F_73,2012-05-30,French Open,3482,atp_104269,True,4242,Fernando Verdasco,ESP
324,3528,m_2012_F_99,2012-01-06,French Open,13628,atp_104269,False,4242,Fernando Verdasco,ESP
325,3616,m_2011_F_60,2011-05-24,French Open,3596,atp_104269,True,4242,Fernando Verdasco,ESP
326,3641,m_2011_F_85,2011-05-26,French Open,3621,atp_104269,True,4242,Fernando Verdasco,ESP
327,3666,m_2011_F_110,2011-05-28,French Open,13766,atp_104269,False,4242,Fernando Verdasco,ESP
328,3728,m_2010_F_45,2010-05-25,French Open,3707,atp_104269,True,4242,Fernando Verdasco,ESP
329,3777,m_2010_F_94,2010-05-28,French Open,3756,atp_104269,True,4242,Fernando Verdasco,ESP
330,3792,m_2010_F_109,2010-05-29,French Open,3771,atp_104269,True,4242,Fernando Verdasco,ESP
331,3802,m_2010_F_119,2010-05-31,French Open,13901,atp_104269,False,4242,Fernando Verdasco,ESP
332,3817,m_2009_F_7,2009-05-24,French Open,3796,atp_104269,True,4242,Fernando Verdasco,ESP
333,3881,m_2009_F_71,2009-05-27,French Open,3860,atp_104269,True,4242,Fernando Verdasco,ESP
