,match_id,date,tournament
0,m_2019_A_0,2019-01-14,Australian Open
1,m_2019_A_1,2019-01-14,Australian Open
2,m_2019_A_2,2019-01-14,Australian Open
3,m_2019_A_3,2019-01-14,Australian Open
4,m_2019_A_4,2019-01-14,Australian Open
5,m_2019_A_5,2019-01-14,Australian Open
6,m_2019_A_6,2019-01-14,Australian Open
7,m_2019_A_7,2019-01-14,Australian Open
8,m_2019_A_8,2019-01-14,Australian Open
9,m_2019_A_9,2019-01-14,Australian Open
10,m_2019_A_10,2019-01-14,Australian Open
11,m_2019_A_11,2019-01-14,Australian Open
12,m_2019_A_12,2019-01-14,Australian Open
13,m_2019_A_13,2019-01-14,Australian Open
14,m_2019_A_14,2019-01-14,Australian Open
15,m_2019_A_15,2019-01-14,Australian Open
16,m_2019_A_16,2019-01-14,Australian Open
17,m_2019_A_17,2019-01-14,Australian Open
18,m_2019_A_18,2019-01-14,Australian Open
19,m_2019_A_19,2019-01-14,Australian Open
20,m_2019_A_20,2019-01-14,Australian Open
21,m_2019_A_21,2019-01-14,Australian Open
22,m_2019_A_22,2019-01-14,Australian Open
23,m_2019_A_23,2019-01-14,Australian Open
24,m_2019_A_24,2019-01-14,Australian Open
25,m_2019_A_25,2019-01-14,Australian Open
26,m_2019_A_26,2019-01-14,Australian Open
27,m_2019_A_27,2019-01-14,Australian Open
28,m_2019_A_28,2019-01-14,Australian Open
29,m_2019_A_29,2019-01-14,Australian Open
30,m_2019_A_30,2019-01-14,Australian Open
31,m_2019_A_31,2019-01-14,Australian Open
32,m_2019_A_32,2019-01-15,Australian Open
33,m_2019_A_33,2019-01-15,Australian Open
34,m_2019_A_34,2019-01-15,Australian Open
35,m_2019_A_35,2019-01-15,Australian Open
36,m_2019_A_36,2019-01-15,Australian Open
37,m_2019_A_37,2019-01-15,Australian Open
38,m_2019_A_38,2019-01-15,Australian Open
39,m_2019_A_39,2019-01-15,Australian Open
40,m_2019_A_40,2019-01-15,Australian Open
41,m_2019_A_41,2019-01-15,Australian Open
42,m_2019_A_42,2019-01-15,Australian Open
43,m_2019_A_43,2019-01-15,Australian Open
44,m_2019_A_44,2019-01-15,Australian Open
