,tournament,fullname,Count_Win,Count_Lose,total_play,perc_win
26,Australian Open,Andre Agassi,30,2,32,93.75
277,Australian Open,Novak Djokovic,67,8,75,89.33
320,Australian Open,Roger Federer,97,14,111,87.39
287,Australian Open,Patrick Rafter,5,1,6,83.33
303,Australian Open,Rafael Nadal,61,13,74,82.43
228,Australian Open,Marat Safin,29,7,36,80.56
226,Australian Open,Magnus Norman,8,2,10,80.0
40,Australian Open,Andy Murray,48,13,61,78.69
292,Australian Open,Pete Sampras,11,3,14,78.57
41,Australian Open,Andy Roddick,38,11,49,77.55
