,tournament,fullname,Count_Win,Count_Lose,total_play,perc_win
313,French Open,Rafael Nadal,93,2,95,97.89
285,French Open,Novak Djokovic,68,14,82,82.93
135,French Open,Gustavo Kuerten,24,5,29,82.76
325,French Open,Roger Federer,70,16,86,81.39999999999999
86,French Open,Dominic Thiem,24,6,30,80.0
37,French Open,Andy Murray,39,10,49,79.59
5,French Open,Albert Costa,18,5,23,78.25999999999999
14,French Open,Alex Corretja,17,5,22,77.27000000000001
199,French Open,Karen Khachanov,10,3,13,76.92
186,French Open,Juan Carlos Ferrero,34,11,45,75.56
