,tournament,fullname,Count_Win,Count_Lose,total_play,perc_win
304,Wimbledon,Roger Federer,101,12,113,89.38000000000001
268,Wimbledon,Novak Djokovic,72,10,82,87.8
275,Wimbledon,Patrick Rafter,12,2,14,85.71
33,Wimbledon,Andy Murray,57,10,67,85.07000000000001
279,Wimbledon,Pete Sampras,11,2,13,84.61999999999999
121,Wimbledon,Goran Ivanisevic,9,2,11,81.82000000000001
289,Wimbledon,Rafael Nadal,53,12,65,81.54
34,Wimbledon,Andy Roddick,41,12,53,77.36
16,Wimbledon,Alexander Popp,13,4,17,76.47
23,Wimbledon,Andre Agassi,16,5,21,76.19
