,Unnamed: 0_x,match_id,date,tournament,Unnamed: 0_y,player_id,winner,Unnamed: 0,name,country
49,5230,m_2018_U_23,2018-08-27,US Open,5205,atp_104731,True,4701,Kevin Anderson,RSA
50,5282,m_2018_U_75,2018-08-29,US Open,5257,atp_104731,True,4701,Kevin Anderson,RSA
51,5306,m_2018_U_99,2018-08-31,US Open,5281,atp_104731,True,4701,Kevin Anderson,RSA
52,5319,m_2018_U_112,2018-02-09,US Open,15414,atp_104731,False,4701,Kevin Anderson,RSA
53,5340,m_2017_U_6,2017-08-28,US Open,5315,atp_104731,True,4701,Kevin Anderson,RSA
54,5407,m_2017_U_73,2017-08-31,US Open,5382,atp_104731,True,4701,Kevin Anderson,RSA
55,5435,m_2017_U_101,2017-01-09,US Open,5410,atp_104731,True,4701,Kevin Anderson,RSA
56,5448,m_2017_U_114,2017-03-09,US Open,5423,atp_104731,True,4701,Kevin Anderson,RSA
57,5455,m_2017_U_121,2017-06-09,US Open,5430,atp_104731,True,4701,Kevin Anderson,RSA
58,5458,m_2017_U_124,2017-08-09,US Open,5433,atp_104731,True,4701,Kevin Anderson,RSA
59,5460,m_2017_U_126,2017-10-09,US Open,15555,atp_104731,False,4701,Kevin Anderson,RSA
60,5481,m_2016_U_20,2016-08-29,US Open,5456,atp_104731,True,4701,Kevin Anderson,RSA
61,5526,m_2016_U_65,2016-08-31,US Open,5501,atp_104731,True,4701,Kevin Anderson,RSA
62,5557,m_2016_U_96,2016-02-09,US Open,15651,atp_104731,False,4701,Kevin Anderson,RSA
63,5636,m_2015_U_48,2015-01-09,US Open,5610,atp_104731,True,4701,Kevin Anderson,RSA
64,5678,m_2015_U_90,2015-03-09,US Open,5652,atp_104731,True,4701,Kevin Anderson,RSA
65,5698,m_2015_U_110,2015-05-09,US Open,5672,atp_104731,True,4701,Kevin Anderson,RSA
66,5705,m_2015_U_117,2015-07-09,US Open,5679,atp_104731,True,4701,Kevin Anderson,RSA
67,5710,m_2015_U_122,2015-09-09,US Open,15804,atp_104731,False,4701,Kevin Anderson,RSA
68,5764,m_2014_U_49,2014-08-27,US Open,5738,atp_104731,True,4701,Kevin Anderson,RSA
69,5796,m_2014_U_81,2014-08-29,US Open,5770,atp_104731,True,4701,Kevin Anderson,RSA
70,5820,m_2014_U_105,2014-08-31,US Open,15912,atp_104731,False,4701,Kevin Anderson,RSA
71,5889,m_2013_U_47,2013-08-28,US Open,5861,atp_104731,True,4701,Kevin Anderson,RSA
72,5936,m_2013_U_94,2013-08-31,US Open,16028,atp_104731,False,4701,Kevin Anderson,RSA
73,6016,m_2012_U_47,2012-08-29,US Open,16108,atp_104731,False,4701,Kevin Anderson,RSA
74,6111,m_2011_U_15,2011-08-29,US Open,6082,atp_104731,True,4701,Kevin Anderson,RSA
75,6163,m_2011_U_67,2011-01-09,US Open,6134,atp_104731,True,4701,Kevin Anderson,RSA
76,6196,m_2011_U_100,2011-03-09,US Open,16287,atp_104731,False,4701,Kevin Anderson,RSA
77,6242,m_2010_U_19,2010-08-30,US Open,6213,atp_104731,True,4701,Kevin Anderson,RSA
78,6301,m_2010_U_78,2010-02-09,US Open,6272,atp_104731,True,4701,Kevin Anderson,RSA
79,6322,m_2010_U_99,2010-04-09,US Open,16413,atp_104731,False,4701,Kevin Anderson,RSA
140,5088,m_2019_U_8,2019-08-26,US Open,15185,atp_105173,False,5138,Adrian Mannarino,FRA
141,5265,m_2018_U_58,2018-08-28,US Open,15360,atp_105173,False,5138,Adrian Mannarino,FRA
142,5382,m_2017_U_48,2017-08-30,US Open,5357,atp_105173,True,5138,Adrian Mannarino,FRA
143,5420,m_2017_U_86,2017-08-31,US Open,5395,atp_105173,True,5138,Adrian Mannarino,FRA
144,5439,m_2017_U_105,2017-02-09,US Open,15534,atp_105173,False,5138,Adrian Mannarino,FRA
145,5487,m_2016_U_26,2016-08-29,US Open,15582,atp_105173,False,5138,Adrian Mannarino,FRA
146,5649,m_2015_U_61,2015-01-09,US Open,5623,atp_105173,True,5138,Adrian Mannarino,FRA
147,5675,m_2015_U_87,2015-03-09,US Open,15769,atp_105173,False,5138,Adrian Mannarino,FRA
148,5750,m_2014_U_35,2014-08-26,US Open,5724,atp_105173,True,5138,Adrian Mannarino,FRA
149,5809,m_2014_U_94,2014-08-29,US Open,5782,atp_105173,True,5138,Adrian Mannarino,FRA
150,5824,m_2014_U_109,2014-08-31,US Open,15916,atp_105173,False,5138,Adrian Mannarino,FRA
151,5868,m_2013_U_26,2013-08-27,US Open,5840,atp_105173,True,5138,Adrian Mannarino,FRA
152,5914,m_2013_U_72,2013-08-29,US Open,5886,atp_105173,True,5138,Adrian Mannarino,FRA
153,5945,m_2013_U_103,2013-01-09,US Open,16037,atp_105173,False,5138,Adrian Mannarino,FRA
154,6135,m_2011_U_39,2011-08-30,US Open,16226,atp_105173,False,5138,Adrian Mannarino,FRA
155,6258,m_2010_U_35,2010-08-31,US Open,6229,atp_105173,True,5138,Adrian Mannarino,FRA
156,6312,m_2010_U_89,2010-03-09,US Open,16403,atp_105173,False,5138,Adrian Mannarino,FRA
193,5085,m_2019_U_5,2019-08-26,US Open,5062,atp_105932,True,5889,Nikoloz Basilashvili,RUS
194,5162,m_2019_U_82,2019-08-29,US Open,5138,atp_105932,True,5889,Nikoloz Basilashvili,RUS
195,5181,m_2019_U_101,2019-08-30,US Open,15276,atp_105932,False,5889,Nikoloz Basilashvili,RUS
196,5220,m_2018_U_13,2018-08-27,US Open,5195,atp_105932,True,5889,Nikoloz Basilashvili,RUS
197,5285,m_2018_U_78,2018-08-30,US Open,5260,atp_105932,True,5889,Nikoloz Basilashvili,RUS
198,5303,m_2018_U_96,2018-08-31,US Open,5278,atp_105932,True,5889,Nikoloz Basilashvili,RUS
199,5320,m_2018_U_113,2018-02-09,US Open,15415,atp_105932,False,5889,Nikoloz Basilashvili,RUS
200,5363,m_2017_U_29,2017-08-28,US Open,15458,atp_105932,False,5889,Nikoloz Basilashvili,RUS
201,5597,m_2015_U_9,2015-08-31,US Open,15691,atp_105932,False,5889,Nikoloz Basilashvili,RUS
211,5081,m_2019_U_1,2019-08-26,US Open,15178,atp_111153,False,11071,Christopher Eubanks,USA
212,5352,m_2017_U_18,2017-08-28,US Open,15447,atp_111153,False,11071,Christopher Eubanks,USA
223,5124,m_2019_U_44,2019-08-27,US Open,15221,atp_105430,False,5392,Radu Albot,MDA
224,5270,m_2018_U_63,2018-08-29,US Open,15365,atp_105430,False,5392,Radu Albot,MDA
225,5345,m_2017_U_11,2017-08-28,US Open,5320,atp_105430,True,5392,Radu Albot,MDA
226,5406,m_2017_U_72,2017-08-31,US Open,5381,atp_105430,True,5392,Radu Albot,MDA
227,5436,m_2017_U_102,2017-01-09,US Open,15531,atp_105430,False,5392,Radu Albot,MDA
